nombre_shp_l,nombre_capa,amb,ambito,codigo_ambito,grupo,codigo_grupo,dato,periodo_de_actualizacion,definiciones,codigo_capa,calidad,actor,institucion,tipo_de_actor,tipo_de_informacion,unidad_minima_de_analisis,geometria,ano,accesibilidad,link,trazabilidad,esta_en_la_carpeta,Zonas.Rurales,Límites.y.fronteras,Asentamientos.Humanos,Zonas.Urbanas,Gestión.Ambiental,Equipamientos,Infraestructura.Crítica,Emergencias,Seguridad.pública,Gestión.Hídrica,Servicios.Básicos,Energía,Telecomunicaciones,Actividades.Productivas,Bienestar.Social,Cultura.y.patrimonio,Salud.Pública,Educación,Servicios.públicos,Integración.Social,Vivienda,Vulnerabilidad,Amenazas,Transporte.Público,Congestión,Vialidad,Cambio.Climático,Emisiones.y.contaminación,Normativa.territorial,Desarrollo.Regional,nombre_shp_fichas,nombre_shp_catalogo,nombre_shp_etiquetas
comuna_c17,BAS_comuna_c17,BAS,información base,01,División Política Administrativa,0104,Comunas,Único,"Es la unidad territorial administrativa a cargo del alcalde que administra una corporación independiente del Estado llamada municipalidad. En la comuna es posible satisfacer las necesidades específicas de sus habitantes locales (CEDEUS, 2019). Los datos que entrega esta capa de información corresponden a los nombres de cada una de las comunas que componen a la región Metropolitana, la provincia en la que se localizan, además de valores de área y longitud. Esta información permite identificar las divisiones administrativas y establecer límites geográficos para la gestión del territorio, la zonificación y la toma de decisiones relacionadas con el desarrollo urbano, rural y regional. En segundo lugar, sirve para realizar análisis socioeconómicos, ya que permite la integración de datos demográficos, económicos y sociales específicos de cada comuna, lo que facilita la comprensión de las características y dinámicas particulares de cada área. Sumado a esto esencial para la planificación y prestación de servicios públicos, como la provisión de agua potable, alcantarillado, energía, transporte y educación. Permite identificar las necesidades y demandas específicas de cada comuna y orientar la planificación de infraestructura y servicios.",NA,idóneo,Instituto Nacional de Estadísticas,Instituto Nacional de Estadísticas,Público,Base,Comuna,Polígono,2020,Dato abierto,NA,Entregado,SI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMUNA_C17,COMUNA_C17,COMUNA_C17
cuarteles_carabineros,BAS_cuarteles_carabineros,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Cuarteles de carabineros,Indefinido,"Los cuarteles de carabineros consideran “Unidades las Comisarías y Subcomisarías; Grupos y Escuadrones de las Escuelas de Carabineros; Grupos de Instrucción y, en general, las que cuenten con personal para atender las funciones propias de Orden y Seguridad, al mando de un Oficial Jefe o un Oficial Subalterno del grado de Capitán” (Carabineros de Chile, 2000). La capa “corresponde a la Ubicación de los Cuarteles de Carabineros de Chile, correspondiente a Comisarias, Subcomisarias, Tenencias, Tenencias de Carretera y Retenes operativos. La escala de referencia espacial es a nivel país” (IDE Chile, 2018). La funcionalidad de la capa se ve reflejada en la gestión de planificación territorial ligada a la seguridad de la población y los asentamientos humanos, teniendo en cuenta la capacidad de los cuarteles para la respuesta ante siniestros ligados a la delincuencia o hechos que pongan en vulnerabilidad a la población.",NA,idóneo,Carabineros de Chile,Carabineros de Chile,Público,Base,Predio,Punto,2018,Dato abierto,https://www.ide.cl/index.php/sociedad/item/1741-cuarteles-de-carabineros,Entregado,SI,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuarteles_carabineros,Cuarteles_carabineros,Cuarteles_carabineros
directorio_nac_empresas,BAS_directorio_nac_empresas,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Directorio Nacional de empresas,Indefinido,"Corresponde a un listado total de unidades legales que ejercen alguna actividad económica en el país, las que son caracterizadas mediante atributos, permitiendo la elaboración de marcos muestrales, levantamiento de encuestas económicas y desarrollo de estudios especiales utilizados para la explotación estadística económica oficial del INE (INE, 2019). En esta primera etapa se está considerando la localización de las empresas y no de los establecimientos, por lo que en el caso de las grandes empresas lo que aparece localizado son las casas matrices y no las sucursales. En el proceso de georreferenciación se logró geocodificar el 81% de os registros del directorio”. La capa contiene información sobre la localización de las casas matrices de cada empresa al año 2017, el contenido de sus atributos se concentra en las características de las entidades, ya sea sus tipos de patentes y fines comerciales o similares. La función de esta se mencionó anteriormente, citando nuevamente, “permitiendo la elaboración de marcos muestrales, levantamiento de encuestas económicas y desarrollo de estudios especiales utilizados para la explotación estadística económica oficial del INE”.",10238,idóneo,Instituto Nacional de Estadísticas,Instituto Nacional de Estadísticas,Público,Base,Manzana,Polígono,2017,Dato abierto,https://ine-chile.maps.arcgis.com/apps/webappviewer/index.html?id=178baf0167a74f50ae9bfb4662aaa012,Entregado,SI,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Directorio_Nac_Empresas,Directorio_Nac_Empresas,Directorio_Nac_Empresas
distrito_c17,BAS_distrito_c17,BAS,información base,01,Censo de Población y Vivienda,0101,Distrito censal,Periódico largo plazo,"División político-territorial que se utiliza para el trabajo censal al momento de hacer el censo de población en el país, este se divide según el número de viviendas en el área urbana (INE, 2018). El fin de esta capa es lograr un trabajo estadístico y censal eficiente sobre la población, la toma de decisiones en políticas públicas sectoriales para una mejor distribución de los recursos estatales en la población, también para el estudio de distribución de la población y sus características demográficas, culturales y socioeconómicas.",10102,idóneo,Instituto Nacional de Estadísticas,Instituto Nacional de Estadísticas,Público,Base,Manzana,Polígono,2017,Dato abierto,https://www.ine.gob.cl/herramientas/portal-de-mapas/geodatos-abiertos,Entregado,SI,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISTRITO_C17,DISTRITO_C17,DISTRITO_C17
eleam_2022,BAS_eleam_2022,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Establecimientos de larga estadía del adulto mayor,Indefinido,"Son residencias o centros de apoyo para personas mayores que, por motivos biológicos, psicológicos o sociales, requieren de un medio ambiente protegido y cuidados diferenciados para la mantención de su salud y funcionalidad (Ministerio de Desarrollo Social y Familia, 2023). Estos centros fueron impulsados por el Servicio nacional del Adulto Mayor (SENAMA). Esta capa de información geográfica cuenta con datos acerca del nombre de cada uno de los establecimientos, la entidad operadora (Fundación, Corporación, ONG, otras), los cupos que este posee y el aporte mensual que recibe. Esta información puede resultar de gran utilidad para tomadores de decisiones, ya que permite planificar y dirigir ciertas mejoras o ayuda en aquellos que sean prioritarios, o bien, analizar la distribución de estos y así extender la oferta de estos establecimientos a lo largo del país.",30211,idóneo,SEREMI de Salud,Ministerio de Salud,Público,Base,Predio,Punto,2021,Transparencia,http://geoportal.asrm.cl/exp/ficha.php,Entregado,SI,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ELEAM_2022,ELEAM_2022,ELEAM_2022
embalses_dga_doh_2016,BAS_embalses_dga_doh_2016,BAS,información base,01,Cartografía Base,0105,Embalses,Indefinido,"En el Código de Aguas se define embalse como una obra artificial donde se acopian aguas, el cual puede tener usos como regadío, producción de energía eléctrica, consumo humano, etc. Son importantes para el desarrollo económico dado que permiten la realización de distintas actividades, pero también afectan el ecosistema al perturbar el flujo natural del agua. Esta capa se compone de puntos que indican la localización de embalses, la comuna en la que se ubican, año, altura del muro, fuente de información, propietario, fuente, uso del embalse y tipo de embalse. Esta información permite identificar las fuentes de abastecimiento de agua, establecer rutas de distribución y planificar infraestructuras relacionadas, como plantas de tratamiento de agua y sistemas de distribución. Los embalses también pueden representar riesgos asociados a inundaciones o desbordamientos. La capa de información geográfica permite identificar las áreas cercanas a los embalses que podrían verse afectadas en caso de eventos extremos.",010223,idóneo,Dirección General de Aguas,Ministerio de Obras Públicas,Público,Base,Predio,Punto,2016,Dato abierto,https://www.ide.cl/index.php/medio-ambiente/item/1640-embalses,Entregado,SI,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Embalses_DGA_DOH_2016,Embalses_DGA_DOH_2016,Embalses_DGA_DOH_2016
entidad_ind_c17,BAS_entidad_ind_c17,BAS,información base,01,Censo de Población y Vivienda,0101,Entidad rural,Periódico largo plazo,"“Entidad rural como asentamiento humano concentrado o disperso que posee 1.000 o menos habitantes, o entre 1.001 o 2.000 habitantes, donde más del 50% de la población que declara haber trabajado se dedica a actividades primarias” (INE, 2019). La capa identifica a estas entidades bajo un código numérico concatenado en base a su posición en la unidad administrativa a la cual pertenece. La utilidad de esta capa se ve reflejada, primero que todo, en la caracterización de la población habitante de las zonas rurales, en base a sus características demográficas, culturales y socioeconómicas. También sirve para llevar a cabo una planificación y gestión territorial eficiente en las zonas rurales, ya que son zonas que presentan signos de aislamiento y distancias mayores que requieren de un manejo eficaz para suplir las necesidades de la población rural.",010105,idóneo,Instituto Nacional de Estadísticas,Instituto Nacional de Estadísticas,Público,Base,Entidad,Poligono,2017,Dato abierto,https://www.ine.gob.cl/herramientas/portal-de-mapas/geodatos-abiertos,Entregado,SI,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTIDAD_IND_C17,ENTIDAD_IND_C17,ENTIDAD_IND_C17
equipamiento_deportivo,BAS_equipamiento_deportivo,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Equipamiento deportivo,Indefinido,"Los equipamientos son “construcciones destinadas a complementar las funciones básicas de habitar, producir y circular sea su clase o escala […]. El tipo de Equipamiento se refiere a las construcciones destinadas a la prestación de servicios necesario para complementar el resto de las actividades, como son las residenciales y las productivas, incluyendo las interrelaciones y actividades anexan que se generan a partir de ellas” (OGUC, s.f.). La capa entregada por la Red CEDEUS incluye el punto geográfico de su localización y su nombre, identificando si se trata de estadios de fútbol, medias lunas, centros de alto rendimiento, piscinas, politécnicos, gimnasios, entre otros. Finalmente, los clasifica según el sector que lo financia, público o privado. La funcionalidad que cumple la capa puede estar ligada a la planificación de actividades deportivas o recreativas, esto sirviendo a futuro como sistema de calendarización y gestión o planificación en el impacto que pueden tener estos eventos al momento de llevarse a cabo.",10201,idóneo,División de Infraestructura y Recintos Deportivos,Ministerio del Deporte,Público,Base,Predio,Punto,2016,Dato abierto,http://datos.cedeus.cl/layers/geonode:equipamiento_deportivo_1,Entregado,si,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,equipamiento_deportivo,equipamiento_deportivo,equipamiento_deportivo
escolaridad_jefe_hogar,BAS_escolaridad_jefe_hogar,BAS,información base,01,Socioeconómico,0103,Escolaridad del jefe de hogar,Periódico largo plazo,"“Corresponde al promedio de años de estudios formales reconocidos de las personas que se declaran jefe o jefa de hogar. Esta es una medida del grado de instrucción formal de las personas que corresponde a la suma de sus años de estudio. Para el cálculo de este indicador se considera a todos los jefes o jefas de hogar que declararon tanto el curso más alto aprobado como el nivel educacional al que corresponde” (INE, 2018). El concepto de jefe de hogar en Chile se utiliza para análisis relacionados a la caracterización socioeconómica y diseño de políticas públicas (INE, 2016).",NA,idóneo,Observatorio de Ciudades UC,Observatorio de Ciudades UC,Academia,Indicador,Zona Censal,Polígono,2017,Dato abierto,NA,Entregado,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Escolaridad_jefe_hogar,Escolaridad_jefe_hogar,Escolaridad_jefe_hogar
establec_salud_14_mayo_2021,BAS_establec_salud_14_mayo_2021,BAS,información base,01,Equipamientos y Servicios Básicos,0102,Establecimientos de salud,Indefinido,"El Ministerio de Salud define los establecimientos de salud como equipamientos destinados a la atención médica de la población en un nivel primario, ligado a la atención de tipo promocional, preventivo, curativo y rehabilitación; nivel secundario, donde se requiere una atención de mayor complejidad derivada desde los centros primarios; finalmente se encuentran los centros de nivel terciara, los cuales están ligados a hospitales que pueden cumplir con labores secundarias también. La capa fue levantada por el Departamento de Planificación Sanitaria de la Subsecretaría de Salud Pública, conteniendo información como el nombre de la dependencia, el tipo de establecimiento, indicación acerca de prestación de servicio de urgencias, nivel de establecimiento, nombre de la comuna en la que se ubica, dirección exacta, SAPU, su estado, modalidad de atención, entre otros datos. Esto ayuda a las personas a localizar y acceder a los servicios médicos más cercanos a su ubicación, lo que facilita el acceso a la atención médica. Permite identificar áreas con una mayor o menor densidad de establecimientos de salud, lo que ayuda a determinar dónde es necesario ampliar o mejorar la infraestructura de atención médica. También permite identificar áreas con una mayor demanda de servicios de salud y planificar la distribución equitativa de los recursos. En situaciones de emergencia o desastre, la capa de información geográfica de los establecimientos de salud es esencial para la coordinación y respuesta efectiva.",NA,idóneo,División de Planificación Sanitaria,Ministerio de Salud,Público,Base,Predio,Punto,2021,Dato abierto,https://www.ide.cl/index.php/salud/item/1907-establecimientos-de-salud-de-chile,Entregado,SI,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Establec_Salud_14_Mayo_2021,Establec_Salud_14_Mayo_2021,Establec_Salud_14_Mayo_2021
